batch,score,loss,loss_v
1,-50,-12.92775,612.7221
2,-30,-10.525455,325.92145
3,-50,-15.200288,603.651
4,-50,-15.655173,598.60297
5,-50,-15.400704,601.24475
6,-16,-9.476884,305.11835
7,-50,-14.242802,607.95294
8,-50,-14.738994,601.4557
9,-42,-9.784925,371.93396
10,12,-0.04508931,41.32964
11,-32,-12.19137,455.6367
12,-50,-13.640723,600.32245
13,-50,-14.340264,601.56195
14,-22,-7.2052507,132.33324
15,-22,-7.861675,162.30812
16,-36,-12.652277,528.02295
17,-30,-5.383691,169.58633
18,-16,-6.6274533,135.10529
19,-10,-2.882444,41.17213
20,-26,-6.0188193,122.55963
21,-26,-6.5552845,134.7525
22,-50,-13.698841,594.22144
23,-12,-4.0403953,61.23369
24,-50,-13.209782,600.5334
25,-50,-15.459733,601.4671
26,-40,-9.1564455,380.78278
27,-50,-13.422178,599.74884
28,-14,-5.7469406,116.99146
29,-50,-13.849472,600.1673
30,-20,-7.2332764,145.92929
31,-50,-13.25295,599.7305
32,-34,-10.000251,284.74872
33,-24,-9.200087,213.7126
34,-50,-14.947334,594.24603
35,-50,-15.043096,593.2346
36,-26,-12.071095,339.7948
37,-50,-15.500281,602.87134
38,-50,-15.510986,596.44556
39,-24,-8.622036,250.16866
40,-38,-9.87153,539.68756
41,-16,-8.374132,199.94608
42,-50,-15.396492,598.1691
43,-46,-10.902112,477.58673
44,-38,-10.768671,450.87015
45,-26,-7.5999923,191.25803
46,-42,-13.853575,568.6411
47,-50,-11.53539,597.7107
48,-50,-12.384524,594.9228
49,-30,-9.097057,256.80054
50,-28,-10.2714405,346.16754
51,-50,-13.753199,607.501
52,-36,-9.566833,522.81537
53,-50,-12.090178,592.55237
54,-50,-10.936654,589.97546
55,-34,-11.096336,502.49557
56,-30,-8.942766,462.45883
57,-28,-7.0376687,159.67558
58,-50,-14.242129,589.42267
59,-50,-14.106651,584.8921
60,-28,-2.964366,144.43994
61,-42,-9.418925,397.279
62,-40,-12.521474,471.10242
63,-34,-6.1024942,222.68945
64,-42,-7.5002437,573.13763
65,-48,-7.2924037,590.8178
66,-36,-5.779688,250.66476
67,-50,-12.479096,584.1149
68,-50,-9.605588,602.5491
69,-36,-5.7330475,249.90385
70,-42,-11.05262,378.74493
71,-50,-8.62563,577.78595
72,-50,-5.9538155,617.4367
73,-48,-10.016323,591.1418
74,-32,-4.039429,189.60574
75,-2,-3.601877,53.10376
76,-44,-6.2798514,445.3551
77,-42,-10.73792,426.5008
78,-50,-10.030273,584.32825
79,-50,-9.827536,609.6297
80,-38,-5.39415,298.0294
81,-34,-9.047387,358.30704
82,-28,-1.8913699,140.69687
83,-50,-11.6643505,577.979
84,-46,-3.6015801,582.716
85,-50,-7.1489635,568.4836
86,-12,-4.6844873,264.00455
87,-32,-1.975966,213.2154
88,-34,-4.969349,258.5877
89,-44,-7.872206,582.4972
90,-32,-4.864532,214.13113
91,-44,-5.251111,586.38916
92,-50,-10.302369,583.24585
93,-50,-15.466189,598.8554
94,-34,-3.2005775,227.96233
95,-40,-6.918298,546.90125
96,-50,-11.787457,572.4736
97,-38,-7.387628,532.6216
98,-50,-16.056686,592.1456
99,-50,-9.993704,599.54346
100,-50,-11.267494,596.4738
101,-32,-3.1903272,473.05508
102,-38,-6.635839,293.9499
103,-46,-5.82536,506.50946
104,-38,-3.1636972,541.42224
105,-34,-3.8467453,208.78639
106,-30,-2.1119423,169.59952
107,-42,-7.340175,394.28687
108,-30,-8.991513,359.60278
109,-40,-5.7771926,560.0224
110,-34,-3.4122617,234.80109
111,-50,-8.104105,581.9477
112,-38,-4.4183407,275.09128
113,-50,-7.58535,569.7347
114,-50,-5.6479735,583.46
115,-40,-2.1764133,317.52078
116,-42,-2.4790637,575.0986
117,-50,-11.317227,581.9699
118,-46,-4.806841,591.6174
119,-50,-8.152615,563.5976
120,-50,-10.933312,580.8801
121,-42,-5.5241704,403.4561
122,-38,-8.169782,311.03644
123,-32,-3.4395154,471.57657
124,-50,-5.0829396,569.0686
125,-42,-4.8856325,567.34595
126,-50,-6.6755233,565.21564
127,-44,-4.2042108,582.9747
128,-36,-2.0533988,514.3106
129,-50,-5.7279615,572.24225
130,-46,-2.2875917,584.2455
131,-50,-4.5322328,573.33685
132,-50,-2.2840197,590.1452
133,-50,-5.094349,565.42096
