episode,avg_reward,avg_loss,avg_vloss,avg_aloss
50,-5.3106575,-73.62288,4.684622,-78.30752
100,-5.2451534,-44.73662,2.7750056,-47.51162
150,-5.1698427,-0.215821,0.42598546,-0.6418064
200,-5.2531905,-0.94429994,0.3313498,-1.2756497
250,-5.1652308,0.0025597191,0.31916782,-0.3166082
300,-5.183596,-0.43954346,0.32282367,-0.7623669
350,-5.231424,-0.04341006,0.32539126,-0.36880112
400,-5.2321343,-0.026461365,0.3476422,-0.37410358
450,-5.2356677,-1.5041062,0.29766324,-1.8017696
500,-5.150364,-0.41270226,0.35011214,-0.76281416
550,-5.250803,-0.6904982,0.367157,-1.0576555
600,-5.215003,0.037165586,0.34692013,-0.3097544
650,-5.308127,-1.627242,0.2794795,-1.9067209
700,-5.2544975,0.6026803,0.29543114,0.30724913
750,-5.2693844,-0.7431569,0.31895325,-1.0621101
800,-5.182588,-0.17349888,0.29446232,-0.46796113
850,-5.196903,-0.0698997,0.31818944,-0.3880892
900,-5.2732825,-0.27613774,0.32939517,-0.6055329
950,-5.2932796,-0.44492513,0.34713775,-0.7920628
1000,-5.1860266,0.30269355,0.2919852,0.010708392
1050,-5.2556267,-0.012509639,0.26587537,-0.27838498
1100,-5.169645,0.9823407,0.35596967,0.62637097
1150,-5.2035456,0.34723252,0.30665672,0.04057573
1200,-5.1451964,-0.2390782,0.29373163,-0.53280973
1250,-5.135618,0.18952596,0.33368674,-0.14416093
1300,-5.1824865,0.36270303,0.31055346,0.052149504
1350,-5.2124705,0.3597139,0.29623908,0.063475005
1400,-5.2795386,-0.018118486,0.31209832,-0.33021668
1450,-5.2278943,1.0626187,0.3241402,0.7384785
1500,-5.2078514,0.6121849,0.36273292,0.2494519
1550,-5.2595415,-0.7638243,0.33029383,-1.0941182
1600,-5.1804943,-0.30673513,0.34057796,-0.64731306
1650,-5.239132,-0.83484846,0.3745955,-1.2094439
1700,-5.2763124,-0.48390034,0.32394072,-0.80784094
1750,-5.2350416,-0.41887787,0.26587197,-0.68474996
1800,-5.2383027,-0.07943736,0.33995906,-0.41939643
1850,-5.2217407,0.07223065,0.33333066,-0.2611
1900,-5.183683,0.19361217,0.32004097,-0.1264288
1950,-5.248838,1.0717119,0.3246607,0.7470513
2000,-5.157942,-0.07113974,0.31743965,-0.3885795
2050,-5.2458324,0.047505904,0.31770524,-0.2701993
2100,-5.196167,0.03366774,0.32776543,-0.29409772
2150,-5.233409,-0.20815018,0.29992637,-0.5080766
2200,-5.087444,0.15566319,0.282708,-0.12704486
2250,-5.1107197,0.09314851,0.2712226,-0.1780741
2300,-4.9541626,0.11750683,0.26369792,-0.14619114
2350,-5.140741,0.037547547,0.25872803,-0.22118051
2400,-4.7795577,0.21009842,0.2554031,-0.045304652
2450,-4.77094,0.18518123,0.3063275,-0.12114628
2500,-4.6973443,0.18491316,0.27342603,-0.08851284
2550,-4.601884,-0.0075859856,0.23668778,-0.24427372
2600,-4.4572463,0.38030505,0.25661847,0.12368656
