episode,avg_reward,avg_loss,avg_vloss,avg_aloss
100,-0.74,19.555336,31.023584,-11.468254
200,-0.8673333333333333,20.412222,32.6181,-12.20588
300,-0.8233333333333333,20.261448,32.096447,-11.834995
400,-0.8061111111111111,19.703592,31.079845,-11.376252
500,-0.7993333333333333,19.775352,30.868986,-11.093634
600,-0.8230000000000001,19.60841,30.353985,-10.74557
700,-0.6682222222222223,18.422394,27.742088,-9.319695
800,-0.7655873015873016,18.091433,27.462318,-9.370893
900,-0.78,19.39667,29.379507,-9.9828415
1000,-0.5987777777777779,18.692402,26.467024,-7.7746196
1100,-0.48396153846153844,18.680855,24.956985,-6.276128
1200,-0.6948095238095239,19.77285,26.774477,-7.001629
1300,-0.4061818181818182,21.030725,25.410835,-4.3801036
1400,-0.11992307692307692,21.10307,23.463402,-2.3603258
1500,-0.30377777777777776,20.682274,25.077085,-4.3948054
1600,-0.2688095238095238,20.366724,24.015339,-3.6486144
1700,-0.2763333333333333,20.91633,24.512554,-3.5962307
1800,-0.07338095238095238,20.493862,22.762646,-2.268786
1900,-0.2809761904761905,21.550714,23.858976,-2.308268
2000,-0.12083333333333333,20.6768,21.979458,-1.3026477
2100,-0.30342063492063487,19.554405,21.350727,-1.7963272
2200,0.031666666666666676,18.07517,19.551271,-1.4760976
2300,-0.03833333333333333,17.74776,19.834766,-2.0869987
2400,-0.3004615384615385,18.063192,20.399036,-2.335846
2500,-0.10100000000000002,15.989813,18.578176,-2.588368
2600,-0.053666666666666654,15.429998,17.515295,-2.0852919
2700,-0.05947619047619046,14.559406,16.504324,-1.9449167
2800,-0.05933333333333332,14.888512,16.86724,-1.9787304
2900,-0.17700000000000002,14.619118,17.106112,-2.4869957
3000,-0.2325,15.04871,17.351013,-2.3023012
3100,-0.2914603174603175,16.137278,18.03449,-1.8972164
3200,-0.17450000000000002,13.357665,14.852477,-1.4948096
3300,-0.11544444444444445,11.974617,13.592943,-1.6183319
3400,-0.26330952380952377,12.423998,14.033924,-1.6099323
3500,0.025666666666666674,10.667607,11.973738,-1.3061287
3600,-0.15918181818181817,12.488415,13.977774,-1.4893625
3700,-0.22590476190476189,12.507267,14.332032,-1.8247685
3800,-0.11677106227106229,11.792843,13.926444,-2.1335976
3900,0.14185714285714288,7.9542155,8.704166,-0.74995226
4000,-0.03214285714285714,9.062453,10.159939,-1.0974835
4100,-0.08358730158730157,9.774443,10.59015,-0.8157055
4200,-0.046166666666666654,8.364861,9.625324,-1.2604656
4300,-0.07761904761904763,8.499214,9.603528,-1.1043141
4400,-0.17514285714285713,9.983312,11.506085,-1.5227721
4500,-0.022309523809523793,8.487502,9.521179,-1.0336777
4600,-0.062452380952380954,8.948121,9.909673,-0.96155494
4700,-0.02033333333333333,8.069619,8.85322,-0.783599
4800,-0.08823015873015873,8.867229,9.884914,-1.0176834
4900,0.00866666666666668,7.607283,8.308116,-0.70082957
5000,-0.10466666666666667,7.5191417,8.257646,-0.7385019
5100,-0.2441282051282051,9.736678,11.146784,-1.410103
5200,-0.1864761904761905,9.714897,11.310595,-1.5956993
5300,-0.07533333333333334,8.884178,9.836977,-0.95279855
5400,-0.08418181818181819,8.300658,9.606657,-1.3059996
5500,-0.08930952380952377,8.052742,9.105189,-1.0524458
5600,-0.1510151515151515,8.690208,10.074144,-1.3839356
5700,-0.12033333333333333,9.560705,10.989418,-1.4287148
5800,-0.018666666666666668,8.467498,9.465649,-0.9981485
5900,-0.13191991341991344,8.517069,9.6386795,-1.1216111
6000,-0.008809523809523802,7.292708,8.096982,-0.8042741
6100,-0.043666666666666645,7.383037,8.227971,-0.8449366
6200,-0.019666666666666652,6.4226704,7.0953603,-0.67269033
6300,-0.21580952380952378,9.041878,10.284224,-1.24235
6400,0.004761904761904785,7.646884,8.268793,-0.62190926
6500,0.007919413919413918,7.884703,8.608168,-0.72346246
6600,0.08382417582417583,6.5748725,7.09692,-0.52204776
6700,-0.02273015873015871,6.649662,7.5265293,-0.87686646
6800,-0.06644444444444444,8.035995,9.096085,-1.0600941
6900,-0.07616666666666666,8.275217,9.08889,-0.8136711
7000,0.031675324675324676,6.953039,7.461284,-0.5082453
7100,0.022000000000000002,7.006612,8.081799,-1.0751886
7200,-0.09747619047619047,7.1967354,7.9932933,-0.7965579
7300,-0.019181818181818175,8.753792,9.325743,-0.5719485
7400,-0.1675,8.560012,9.416932,-0.85691893
7500,-0.12360439560439561,8.506664,9.460594,-0.95392907
7600,-0.20347619047619045,9.147916,10.160033,-1.0121162
7700,-0.23985714285714285,9.06085,9.840433,-0.77957946
7800,0.03371428571428572,7.695947,8.441025,-0.7450744
7900,-0.008944444444444439,8.414581,9.363143,-0.9485615
8000,0.014500000000000008,9.739691,10.525042,-0.785351
8100,-0.09612820512820512,9.3093195,10.007988,-0.6986653
8200,-0.13733333333333334,8.725406,9.804564,-1.0791638
8300,-0.02568181818181818,8.815905,9.701692,-0.88578343
8400,-0.049111111111111126,8.113267,8.8848915,-0.77162606
